date,ws,wd,air_temp,atmos_pres,RH,Y,M,W,D,pm
2021/4/16,6.017857143,293.9285714,12.09107143,1016.9875,22.63916563,2021,4,15,106,36.92406401
2021/4/17,3.607142857,242.75,12.44464286,1019.2625,32.4447035,2021,4,15,107,9.684027778
2021/4/18,3.160714286,165,17.47142857,1012.925,36.29300906,2021,4,15,108,26.89009662
2021/4/19,2.321428571,145.4761905,20.28214286,1011.2125,46.29069815,2021,4,16,109,57.25573671
2021/4/20,3.285714286,150.3846154,19.90892857,1015.8375,49.08588029,2021,4,16,110,51.60567633
2021/4/21,2.660714286,133.4693878,17.325,1016.2625,52.85668287,2021,4,16,111,38.68055556
2021/4/22,1.803571429,188.1081081,12.48214286,1015.55,76.32034839,2021,4,16,112,32.86111111
2021/4/23,2.796296296,178.8888889,16.40892857,1021.35,64.228448,2021,4,16,113,24.56186869
2021/4/24,2.178571429,139.5918367,18.13214286,1025.425,59.15077418,2021,4,16,114,20.95486111
2021/4/25,2.892857143,158,16.85535714,1022.2875,50.57989874,2021,4,16,115,40.19791667
2021/4/26,2.875,140.4347826,16.05535714,1014.25,54.18825823,2021,4,17,116,40.93834223
2021/4/27,5.696428571,283.5185185,17.68214286,1014.8875,20.79611908,2021,4,17,117,27.27566425
2021/4/28,3.490909091,219.3617021,16.69107143,1008.8375,30.09049818,2021,4,17,118,13.84722222
2021/4/29,4.672727273,248.0487805,13.91785714,1003.8375,31.63493126,2021,4,17,119,16.33408816
2021/4/30,2.527272727,166.5116279,10.05178571,1008.2125,63.78102886,2021,4,17,120,12.83333333
2021/5/1,4.535714286,194.5283019,14.59464286,1015.4875,25.11221902,2021,5,17,121,10.11805556
2021/5/2,3.8,177.5,16.21607143,1015.8,33.71640731,2021,5,17,122,12.61458333
2021/5/3,3.571428571,216.6,19,1009.05,44.13193164,2021,5,18,123,34.75573671
2021/5/4,5.446428571,278.2,17.04107143,1011.525,23.78463945,2021,5,18,124,12.34027778
2021/5/5,5.785714286,184.9090909,22.44642857,1005.6625,24.51782454,2021,5,18,125,24.72222222
2021/5/6,7.625,270.754717,19.025,1002.25,27.32936276,2021,5,18,126,80.96013337
2021/5/7,7,259.8181818,22.07142857,1001.625,23.14293125,2021,5,18,127,65.32638889
2021/5/8,4.178571429,215.4761905,18.6375,1005.25,31.5147241,2021,5,18,128,46.31642512
2021/5/9,2.553571429,115,20.23035714,1007.5875,31.97321771,2021,5,18,129,21.68402778
2021/5/10,2.892857143,136.8627451,17.65714286,1012.1,54.93987512,2021,5,19,130,20.38843599
2021/5/11,2.660714286,118.4313725,18.0625,1010.3875,56.47237519,2021,5,19,131,23.37484903
2021/5/12,2.571428571,123.6170213,21.58214286,1009.2375,47.23559598,2021,5,19,132,14.34081197
2021/5/13,1.571428571,99.41176471,19.51071429,1009.225,66.97025226,2021,5,19,133,42.03125
2021/5/14,2.446428571,132.1276596,20.44107143,1006.05,75.69479412,2021,5,19,134,38.67013889
2021/5/15,4.732142857,281.1111111,17.1375,1011.25,53.40284095,2021,5,19,135,12.87152778
2021/5/16,2.335714286,251.673913,18.83035714,1010.675,48.41020142,2021,5,19,136,3.243055556
2021/5/17,2.818181818,216.1111111,23.42142857,1006.9875,37.51180541,2021,5,20,137,11.97237319
2021/5/18,3,162.5714286,23.79814815,1004.575,44.18776277,2021,5,20,138,20.68303571
2021/5/19,3.553571429,169.8076923,25.19821429,1004.4375,50.97134012,2021,5,20,139,31.02628968
2021/5/20,3.018181818,194.2307692,23.34821429,1005,61.38304083,2021,5,20,140,35.59325397
2021/5/21,2.490909091,195.2380952,24.66071429,1004.375,56.49903217,2021,5,20,141,37.07986111
2021/5/22,4.071428571,233.2653061,24.36964286,1005.375,62.09244869,2021,5,20,142,30.74404762
2021/5/23,4.964285714,288.8888889,21.66428571,1010.275,25.53717098,2021,5,20,143,50.40972222
2021/5/24,4.142857143,269.0740741,19.33928571,1007.4875,28.03871725,2021,5,21,144,14.25834431
2021/5/25,3.267857143,171.7391304,21.02321429,1000.4625,38.71177725,2021,5,21,145,18.31944444
2021/5/26,2.535714286,141.627907,19.31785714,1000.1625,61.61155095,2021,5,21,146,16.45486111
2021/5/27,5.589285714,270,21.39642857,998.9625,42.91179439,2021,5,21,147,11.75
2021/5/28,4.660714286,163.0357143,22.96607143,1002.6125,34.03526796,2021,5,21,148,3.604166667
2021/5/29,3.071428571,128.2978723,21.63035714,1006.15,48.20953008,2021,5,21,149,8.868055556
2021/5/30,2.581818182,135.1111111,21.10181818,1006.171429,57.2758783,2021,5,21,150,16.41153382
2021/5/31,2.035714286,172.1428571,15.55535714,1007.875,85.11330215,2021,5,22,151,24.10461957
